Item_Id,Item_Visibility,Store_Id,Item_Store_Sales
TSH15,0.016047301,STR049,3735138
SHR01,0.019278216,STR018,443.4228
BLS15,0.016760075,STR049,2097.27
SWT07,0,STR010,732.38
CRD19,0,STR013,994.7052
JCK36,0,STR018,556.6088
COT10,0.012741089,STR013,343.5528
JCK10,0.127469857,STR027,4022.7636
OCT17,0.016687114,STR045,1076.5986
TCT28,0.09444959,STR017,4710535
HDJ07,0,STR049,1516.0266
TSH03,0.045463773,STR046,2187153
SWT32,0.1000135,STR049,1589.2646
PRK46,0.047257328,STR046,2145.2076
BJK32,0.0680243,STR013,1977426
JCK49,0.069088961,STR046,1547.3192
VST42,0.008596051,STR018,1621.8888
JCK49,0.069196376,STR049,718.3982
JSP11,0.034237682,STR027,2303668
TCT02,0.10249212,STR035,2748.4224
BLS22,0.138190277,STR013,3775086
DRS12,0.035399923,STR027,4064.0432
VST30,0.025698134,STR035,1587.2672
SKT37,0.057556998,STR019,214.3876
PNT28,0.025896485,STR046,4078025
CRD06,0.099887103,STR017,838908
JNS10,0.066693437,STR035,1065.28
SHT59,0.019356132,STR013,308.9312
BST51,0.161466534,STR010,178.4344
SKT14,0.072221801,STR019,125.8362
JNS38,0.170348551,STR010,163.7868
LGS17,0.080829372,STR018,2741.7644
JCK33,0,STR018,3068.0064
COT23,0,STR045,2174.5028
SWP01,0.097904029,STR046,2085.2856
PJB29,0.089291137,STR049,3791.0652
JNS20,0.059511812,STR027,2797.6916
PJS11,0.113123893,STR018,1609.9044
SWT10,0.123111453,STR027,388.1614
FDB34,0.026480954,STR027,2180495
TCT02,0.102511504,STR046,3435528
FDK43,0.02681843,STR013,2150534
TSH46,0.117818348,STR049,2527.3768
SKT02,0.069102831,STR018,6768.5228
FDL50,0.042277867,STR013,373.5138
FDM39,0.089498926,STR010,358.2004
NCP05,0,STR045,2428.8384
JNS49,0.025879577,STR045,5815.0972
FDL12,0.121632721,STR046,2576646
PRK02,0.255394896,STR019,780.3176
NCL17,0.067779712,STR046,3134.5864
FDM40,0.159803853,STR013,850.8924
PNT13,0.028696932,STR013,810.9444
TSH43,0.065041581,STR017,3121.2704
NCP18,0.028760013,STR017,4815.0656
FDK21,0.010053105,STR018,6258.52
PJB54,0.048157338,STR045,2117244
DRK35,0.071958197,STR049,796.9626
HDJ21,0.173481304,STR046,4910275
FDI26,0.061082177,STR019,892172
FDM20,0,STR018,3185.1872
JNS27,0.040071131,STR045,1062.6168
BJK09,0.012090074,STR027,484.7024
HDJ40,0.15028599,STR019,147.8076
HDJ45,0.026015519,STR027,2543356
SKT46,0.195068226,STR010,184.4266
OCT19,0.033082215,STR035,4865.6664
FDZ03,0.078946455,STR045,1118544
SWP37,0.041700756,STR045,2302.3364
NCI17,0.143422643,STR046,2027361
FDJ58,0.105296072,STR046,3435528
FDL12,0.121531501,STR013,599.22
OCT35,0,STR045,4604.6728
FDG02,0.011324862,STR017,2285.0256
NCZ18,0.186357148,STR049,5580.7356
SKT29,0.024205661,STR046,2290352
FDQ10,0.033230816,STR049,1207.0954
BLS48,0.113720344,STR019,643.1628
FDL04,0.112556507,STR017,1587933
JNS25,0,STR045,5305.0944
FDD58,0.059352241,STR046,1697.79
BLS04,0.014087057,STR046,1427.4752
JNS45,0.045230944,STR018,4693.89
NCL18,0.293417759,STR019,583.2408
PNT12,0.031382044,STR027,3091.9752
FDG20,0.12639886,STR017,2479.4392
FDZ55,0.025403898,STR035,2716464
FDQ49,0.039057677,STR027,3285723
BLS33,0.123115764,STR046,661.8052
BLS27,0.039624006,STR049,1523.3504
DRS20,0.040421193,STR010,369519
DRG27,0.105274111,STR049,690.4346
JSP25,0.033970195,STR045,1381535
TSH44,0.053212652,STR035,622523
NCR17,0.024378706,STR035,1274.3412
TCT04,0.009714595,STR019,487.3656
BJK41,0.131383762,STR049,1231.73
FDB56,0.07461309,STR035,3755112
NCP18,0.028459761,STR027,4363.6532
FDB56,0.074627201,STR046,1314.2892
FDT28,0.063695084,STR045,1805.6496
FDD10,0.045797829,STR027,2854.9504
DRS57,0.115857223,STR049,3896.2616
DRB48,0.024832806,STR013,667.7974
JCK09,0.034027909,STR018,3185853
OCT14,0.0467696,STR013,2247.7408
TSH47,0.116576702,STR013,1794331
FDG12,0,STR045,2530.7058
DRE60,0.278974075,STR019,679116
DRK49,0.035913805,STR013,812276
FDD03,0.079806266,STR046,699.09
PRK52,0.005505481,STR017,2732.4432
DRS39,0.064625342,STR019,176437
SWT34,0.071636937,STR027,4097.3332
JNS11,0,STR045,3151.8972
FDD17,0.032677678,STR049,5942265
FDZ16,0.160760054,STR017,4843695
FDZ46,0.06911065,STR035,2542.0244
DRA12,0.041177505,STR017,2552.6772
HDJ58,0.040081193,STR018,1141847
NCF19,0.035307322,STR017,680.4476
SHT13,0.063017847,STR045,2085.9514
FDB14,0.171938781,STR010,186424
FDJ38,0.040197932,STR035,3036048
DRS11,0.049058014,STR017,866.8716
FDL40,0.01161096,STR035,868869
JSP49,0.183507295,STR046,1137.1864
JNS38,0.102349519,STR017,928.1252
DRG23,0.086708987,STR013,762341
NCP30,0.032835147,STR045,707.0796
HDJ25,0.033809913,STR027,7968.2944
NCH54,0.07266912,STR046,1438128
NCR53,0.144338493,STR027,6976.2524
PRK52,0.009163216,STR010,101.2016
FDG02,0.011307038,STR018,952094
NCO26,0.076855628,STR046,1969.4364
OCT35,0.059956876,STR027,5262.4832
FDB51,0.038532062,STR045,1314.2892
SWT44,0.043209581,STR017,535.3032
NCN07,0.056816465,STR010,263.6568
NCC31,0.019866705,STR035,1402.1748
PJB54,0.048331717,STR017,1693.7952
NCO55,0.091221855,STR045,2143876
NCC30,0.027622076,STR049,2676516
FDI16,0,STR035,905488
JCK16,0.039355947,STR049,7370406
FDB11,0.060836524,STR035,6301.1312
VST06,0.082316506,STR035,1597.92
TSH45,0.155350299,STR035,529311
NCO26,0.076841095,STR035,1969.4364
SHT25,0.151419185,STR017,1034.6532
PNT28,0.026001976,STR018,1794331
FDI04,0.073209447,STR018,2768.3964
DRK12,0.041683481,STR027,898.83
SWT20,0.042560252,STR046,3169208
NCI18,0.014081156,STR018,3589.9936
FDB36,0,STR018,262.3252
BLS13,0.152918384,STR017,1910.1802
DRD24,0.030969274,STR017,1701.7848
FDQ28,0.060376776,STR013,2471.4496
FDM22,0.04192285,STR013,1331.6
PNT07,0.077367431,STR027,1808.9786
JNS25,0.045838211,STR018,3315684
DRF49,0.071077939,STR046,2618.5914
DRS51,0.094659871,STR046,2769728
DRL01,0.077608838,STR017,5375.0034
JCK25,0.021327477,STR017,2838.9712
FDL50,0.042485444,STR018,1743.0644
VST30,0.025578526,STR027,5555.4352
DRS11,0.0489808,STR018,619194
NCM43,0.019471688,STR035,2120573
FDK44,0.122918852,STR017,3823.0236
FDM15,0.057373797,STR013,1360.2294
PRK31,0.044155597,STR013,3969.4996
FDI32,0.291865402,STR010,345.5502
PNT47,0,STR010,585.2382
FDB35,0.064750025,STR045,1010.6844
NCU05,0.098312421,STR010,161.1236
DRY23,0.191013663,STR019,42.6112
COT24,0.176573035,STR045,3010.7476
FDQ28,0.060134441,STR027,6024.1584
JNS39,0.007294652,STR045,988713
NCO17,0.128478462,STR019,239688
TCT50,0.075107656,STR013,1374.2112
FDT12,0.049381406,STR027,4739.8302
FDK58,0.045165796,STR018,1012016
COT08,0.09415375,STR019,657.8104
NCW29,0.028907832,STR049,778986
BST04,0.018059621,STR045,2336958
VST19,0.090436094,STR049,2233.0932
JNS15,0.146399712,STR049,1661.8368
FDL58,0.074264356,STR049,4745.8224
TSH08,0.050186726,STR045,3124.5994
FDT43,0.020631654,STR018,467.3916
PJB06,0.01561108,STR027,5070.7328
FDT20,0.041395445,STR046,540.6296
FDB41,0.097313129,STR046,992.7078
NCN55,0.059582996,STR049,6008845
BST40,0.098663652,STR027,2105.2596
SWT49,0.101338651,STR027,5359.69
NCM53,0.052146456,STR045,745696
BST36,0.041764487,STR035,3275736
BLS57,0.054344186,STR045,1701.7848
FDI24,0.078362484,STR027,6704606
FDI19,0.052339069,STR046,4119.9704
BJK24,0.042464962,STR010,327.5736
FDG52,0.065732883,STR049,780.9834
DRF36,0.023625114,STR045,3630.6074
PRK45,0.051643608,STR019,317.5866
SWT40,0.165694219,STR010,231.6984
DRK12,0.041878397,STR035,133.16
SHR27,0.058091482,STR035,5650.6446
FDL58,0,STR017,2636568
